description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Stack of 5 (Any) -> Stack-1 + Target Output	1			0	18	70	5		1	misc							usetype,qty=4																													usetype,qty=1																																																										0
Stack of 6 (Any) -> Stack-1 + Target Output	1			0	18	70	6		1	misc							usetype,qty=5																													usetype,qty=1																																																										0
Stack of 7 (Any) -> Stack-1 + Target Output	1			0	18	70	7		1	misc							usetype,qty=6																													usetype,qty=1																																																										0
Stack of 8 (Any) -> Stack-1 + Target Output	1			0	18	70	8		1	misc							usetype,qty=7																													usetype,qty=1																																																										0
Stack of 9 (Any) -> Stack-1 + Target Output	1			0	18	70	9		1	misc							usetype,qty=8																													usetype,qty=1																																																										0
Stack of 10 (Any) -> Stack-1 + Target Output	1			0	18	70	10		1	misc							usetype,qty=9																													usetype,qty=1																																																										0
Stack of 11 (Any) -> Stack-1 + Target Output	1			0	18	70	11		1	misc							usetype,qty=10																													usetype,qty=1																																																										0
Stack of 12 (Any) -> Stack-1 + Target Output	1			0	18	70	12		1	misc							usetype,qty=11																													usetype,qty=1																																																										0
Stack of 13 (Any) -> Stack-1 + Target Output	1			0	18	70	13		1	misc							usetype,qty=12																													usetype,qty=1																																																										0
Stack of 14 (Any) -> Stack-1 + Target Output	1			0	18	70	14		1	misc							usetype,qty=13																													usetype,qty=1																																																										0
Stack of 15 (Any) -> Stack-1 + Target Output	1			0	18	70	15		1	misc							usetype,qty=14																													usetype,qty=1																																																										0
Stack of 16 (Any) -> Stack-1 + Target Output	1			0	18	70	16		1	misc							usetype,qty=15																													usetype,qty=1																																																										0
Stack of 17 (Any) -> Stack-1 + Target Output	1			0	18	70	17		1	misc							usetype,qty=16																													usetype,qty=1																																																										0
Stack of 18 (Any) -> Stack-1 + Target Output	1			0	18	70	18		1	misc							usetype,qty=17																													usetype,qty=1																																																										0
Stack of 19 (Any) -> Stack-1 + Target Output	1			0	18	70	19		1	misc							usetype,qty=18																													usetype,qty=1																																																										0
Stack of 20 (Any) -> Stack-1 + Target Output	1			0	18	70	20		1	misc							usetype,qty=19																													usetype,qty=1																																																										0
Stack of 21 (Any) -> Stack-1 + Target Output	1			0	18	70	21		1	misc							usetype,qty=20																													usetype,qty=1																																																										0
Stack of 22 (Any) -> Stack-1 + Target Output	1			0	18	70	22		1	misc							usetype,qty=21																													usetype,qty=1																																																										0
Stack of 23 (Any) -> Stack-1 + Target Output	1			0	18	70	23		1	misc							usetype,qty=22																													usetype,qty=1																																																										0
Stack of 24 (Any) -> Stack-1 + Target Output	1			0	18	70	24		1	misc							usetype,qty=23																													usetype,qty=1																																																										0
Stack of 25 (Any) -> Stack-1 + Target Output	1			0	18	70	25		1	misc							usetype,qty=24																													usetype,qty=1																																																										0
Stack of 26 (Any) -> Stack-1 + Target Output	1			0	18	70	26		1	misc							usetype,qty=25																													usetype,qty=1																																																										0
Stack of 27 (Any) -> Stack-1 + Target Output	1			0	18	70	27		1	misc							usetype,qty=26																													usetype,qty=1																																																										0
Stack of 28 (Any) -> Stack-1 + Target Output	1			0	18	70	28		1	misc							usetype,qty=27																													usetype,qty=1																																																										0
Stack of 29 (Any) -> Stack-1 + Target Output	1			0	18	70	29		1	misc							usetype,qty=28																													usetype,qty=1																																																										0
Stack of 30 (Any) -> Stack-1 + Target Output	1			0	18	70	30		1	misc							usetype,qty=29																													usetype,qty=1																																																										0
Stack of 31 (Any) -> Stack-1 + Target Output	1			0	18	70	31		1	misc							usetype,qty=30																													usetype,qty=1																																																										0
Stack of 32 (Any) -> Stack-1 + Target Output	1			0	18	70	32		1	misc							usetype,qty=31																													usetype,qty=1																																																										0
Stack of 33 (Any) -> Stack-1 + Target Output	1			0	18	70	33		1	misc							usetype,qty=32																													usetype,qty=1																																																										0
Stack of 34 (Any) -> Stack-1 + Target Output	1			0	18	70	34		1	misc							usetype,qty=33																													usetype,qty=1																																																										0
Stack of 35 (Any) -> Stack-1 + Target Output	1			0	18	70	35		1	misc							usetype,qty=34																													usetype,qty=1																																																										0
Stack of 36 (Any) -> Stack-1 + Target Output	1			0	18	70	36		1	misc							usetype,qty=35																													usetype,qty=1																																																										0
Stack of 37 (Any) -> Stack-1 + Target Output	1			0	18	70	37		1	misc							usetype,qty=36																													usetype,qty=1																																																										0
Stack of 38 (Any) -> Stack-1 + Target Output	1			0	18	70	38		1	misc							usetype,qty=37																													usetype,qty=1																																																										0
Stack of 39 (Any) -> Stack-1 + Target Output	1			0	18	70	39		1	misc							usetype,qty=38																													usetype,qty=1																																																										0
Stack of 40 (Any) -> Stack-1 + Target Output	1			0	18	70	40		1	misc							usetype,qty=39																													usetype,qty=1																																																										0
Stack of 41 (Any) -> Stack-1 + Target Output	1			0	18	70	41		1	misc							usetype,qty=40																													usetype,qty=1																																																										0
Stack of 42 (Any) -> Stack-1 + Target Output	1			0	18	70	42		1	misc							usetype,qty=41																													usetype,qty=1																																																										0
Stack of 43 (Any) -> Stack-1 + Target Output	1			0	18	70	43		1	misc							usetype,qty=42																													usetype,qty=1																																																										0
Stack of 44 (Any) -> Stack-1 + Target Output	1			0	18	70	44		1	misc							usetype,qty=43																													usetype,qty=1																																																										0
Stack of 45 (Any) -> Stack-1 + Target Output	1			0	18	70	45		1	misc							usetype,qty=44																													usetype,qty=1																																																										0
Stack of 46 (Any) -> Stack-1 + Target Output	1			0	18	70	46		1	misc							usetype,qty=45																													usetype,qty=1																																																										0
Stack of 47 (Any) -> Stack-1 + Target Output	1			0	18	70	47		1	misc							usetype,qty=46																													usetype,qty=1																																																										0
Stack of 48 (Any) -> Stack-1 + Target Output	1			0	18	70	48		1	misc							usetype,qty=47																													usetype,qty=1																																																										0
Stack of 49 (Any) -> Stack-1 + Target Output	1			0	18	70	49		1	misc							usetype,qty=48																													usetype,qty=1																																																										0
Stack of 50 (Any) -> Stack-1 + Target Output	1			0	18	70	50		1	misc							usetype,qty=49																													usetype,qty=1																																																										0
EXTRACTION RECIPES	0																																																																																																							0
Normal Set Item + Orb of Eternity -> Extract Compound Essence	1			100					2	any,set,bas	erb,qty=1						erb,qty=1	50	100																											8rb,qty=1	50	100																																																								0
Exceptional Set Item + Orb of Eternity -> Extract Compound Essence	1			100					2	any,set,exc	erb,qty=1						erb,qty=1	50	100																											8rb,qty=1	50	100																																																								0
Elite Set Item + Orb of Eternity -> Extract Compound Essence	1			100					2	any,set,eli	erb,qty=1						erb,qty=1	50	100																											8rb,qty=1	50	100																																																								0
Normal Unique + Orb of Eternity -> Extract Normal Essence	1			100					2	any,uni,bas	erb,qty=1						erb,qty=1	50	100																											8rb,qty=1	50	100																																																								0
Exceptional Unique + Orb of Eternity -> Extract Exceptional Essence	1			100					2	any,uni,exc	erb,qty=1						erb,qty=1	50	100																											8rb,qty=1	50	100																																																								0
Elite Unique + Orb of Eternity -> Extract Elite Essence	1			100					2	any,uni,eli	erb,qty=1						erb,qty=1	50	100																											8rb,qty=1	50	100																																																								0
Set ring + Orb of Eternity -> Extract Compound Essence	1			100					2	rin,set	erb,qty=1						erb,qty=1	50	100																											8rb,qty=1	50	100																																																								0
Set amu + Orb of Eternity -> Extract Compound Essence	1			100					2	amu,set	erb,qty=1						erb,qty=1	50	100																											8rb,qty=1	50	100																																																								0
Unique ring + Orb of Eternity -> Extract unique Essence	1			100					2	rin,uni	erb,qty=1						erb,qty=1	50	100																											8rb,qty=1	50	100																																																								0
Unique amu + Orb of Eternity -> Extract unique Essence	1			100					2	amu,uni	erb,qty=1						erb,qty=1	50	100																											8rb,qty=1	50	100																																																								0
BUILD RECIPES	0																																																																																																							0
Magic Weapon + 1 Jewel Fragment + 1 Orb of Eternity -> Normal Set Weapon	1			100					13	weap,mag,bas	jfg	erb	gpg,qty=1				usetype,set	50	100																																																																																					0
Magic Armor + 1 Jewel Fragment + 1 Orb of Eternity -> Normal Set Armor	1			100					13	armo,mag,bas	jfg	erb	gpg,qty=1				usetype,set	50	100																																																																																					0
CRAFTING RECIPES	0																																																																																																							0
HITPOWER	0																																																																																																							0
1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Sapphire -> Hitpower Helm	1			100					4	helm,mag,noe	jfg	r06,qty=1	gpv,qty=1				usetype,crf		50	50	slow			5	10	balance1			10	20	att			100	200																																																																					0
1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Sapphire -> Hitpower Helm	1			100					4	helm,mag,eth	jfg	r06,qty=1	gpv,qty=1				usetype,crf		50	50	slow			5	10	balance1			10	20	att			100	200	ethereal	100		1	1																																																																0
1 Magic Circlet + 1 Jewel Fragment + 1 Ith Rune + Perfect Sapphire -> Hitpower Helm	1			100					4	circ,mag,noe	jfg	r06,qty=1	gpv,qty=1				usetype,crf		50	50	slow			5	10	balance1			10	20	att			100	200																																																																					0
1 Magic Circlet + 1 Jewel Fragment + 1 Ith Rune + Perfect Sapphire -> Hitpower Helm	1			100					4	circ,mag,eth	jfg	r06,qty=1	gpv,qty=1				usetype,crf		50	50	slow			5	10	balance1			10	20	att			100	200	ethereal	100		1	1																																																																0
1 Magic Boots + 1 Jewel Fragment + 1 Ral Rune + Perfect Sapphire -> Hitpower Boots	1			100					4	boot,mag,noe	jfg	r08,qty=1	gpv,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	10	move1			10	10																																																																					0
1 Magic Boots + 1 Jewel Fragment + 1 Ral Rune + Perfect Sapphire -> Hitpower Boots	1			100					4	boot,mag,eth	jfg	r08,qty=1	gpv,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	10	move1			10	10	ethereal	100		1	1																																																																0
1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Sapphire -> Hitpower Gloves	1			100					4	glov,mag,noe	jfg	r09,qty=1	gpv,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	att			50	100																																																																					0
1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Sapphire -> Hitpower Gloves	1			100					4	glov,mag,eth	jfg	r09,qty=1	gpv,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	att			50	100	ethereal	100		1	1																																																																0
1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Sapphire -> Hitpower Belt	1			100					4	belt,mag,noe	jfg	r07,qty=1	gpv,qty=1				usetype,crf		50	50	thorns			30	50	balance1			10	20	dmg-to-mana			5	10																																																																					0
1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Sapphire -> Hitpower Belt	1			100					4	belt,mag,eth	jfg	r07,qty=1	gpv,qty=1				usetype,crf		50	50	thorns			30	50	balance1			10	20	dmg-to-mana			5	10	ethereal	100		1	1																																																																0
1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Sapphire -> Hitpower Shield	1			100					4	shld,mag,noe	jfg	r05,qty=1	gpv,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	block2			20	30	block			10	20																																																																					0
1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Sapphire -> Hitpower Shield	1			100					4	shld,mag,eth	jfg	r05,qty=1	gpv,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	block2			20	30	block			10	20	ethereal	100		1	1																																																																0
1 Magic Torso + 1 Jewel Fragment + 1 Nef Rune + Perfect Sapphire -> Hitpower Torso	1			100					4	tors,mag,noe	jfg	r04,qty=1	gpv,qty=1				usetype,crf		50	50	thorns			30	50	ac%			25	50	balance1			20	40	sock		1	2																																																																	0
1 Magic Torso + 1 Jewel Fragment + 1 Nef Rune + Perfect Sapphire -> Hitpower Torso	1			100					4	tors,mag,eth	jfg	r04,qty=1	gpv,qty=1				usetype,crf		50	50	thorns			30	50	ac%			25	50	balance1			20	40	ethereal	100		1	1	sock		1	2																																																												0
1 Magic Amulet + 1 Jewel Fragment + 1 Thul Rune + Perfect Sapphire -> Hitpower Amulet	1			100					4	amul,mag	jfg	r08,qty=1	gpv,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	att			150	250	balance1			10	20																																																																					0
1 Magic Ring + 1 Jewel Fragment + 1 Amn Rune + Perfect Sapphire -> Hitpower Ring	1			100					4	ring,mag	jfg	r11,qty=1	gpv,qty=1				usetype,crf		50	50	dmg-min			1	5	dmg-max			1	10	dex			5	10																																																																					0
1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Sapphire -> Hitpower Weapon	1			100					4	miss,mag,noe	jfg	r07,qty=1	gpv,qty=1				usetype,crf		50	50	red-dmg			2	5	red-mag			2	5	dmg%			75	150	swing2			5	10	ethereal	100		1	1																																																											0
1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Sapphire -> Hitpower Weapon	0																																																																																																							0
BLOOD	0																																																																																																							0
1 Magic Helm + 1 Jewel Fragment + 1 Ral Rune + Perfect Ruby -> Blood Helm	1			100					4	helm,mag,noe	jfg	r01,qty=1	gpr,qty=1				usetype,crf		50	50	lifesteal			2	4	str			5	10	crush			15	20																																																																					0
1 Magic Helm + 1 Jewel Fragment + 1 Ral Rune + Perfect Ruby -> Blood Helm	1			100					4	helm,mag,eth	jfg	r01,qty=1	gpr,qty=1				usetype,crf		50	50	lifesteal			2	4	str			5	10	crush			15	20	ethereal	100		1	1																																																																0
1 Magic Circlet + 1 Jewel Fragment + 1 Ral Rune + Perfect Ruby -> Blood Helm	1			100					4	circ,mag,noe	jfg	r01,qty=1	gpr,qty=1				usetype,crf		50	50	lifesteal			2	4	str			5	10	crush			15	20																																																																					0
1 Magic Circlet + 1 Jewel Fragment + 1 Ral Rune + Perfect Ruby -> Blood Helm	1			100					4	circ,mag,eth	jfg	r01,qty=1	gpr,qty=1				usetype,crf		50	50	lifesteal			2	4	str			5	10	crush			15	20	ethereal	100		1	1																																																																0
1 Magic Boots + 1 Jewel Fragment + 1 Eth Rune + Perfect Ruby -> Blood Boots	1			100					4	boot,mag,noe	jfg	r02,qty=1	gpr,qty=1				usetype,crf		50	50	lifesteal			2	4	hp			10	20	regen			15	30																																																																					0
1 Magic Boots + 1 Jewel Fragment + 1 Eth Rune + Perfect Ruby -> Blood Boots	1			100					4	boot,mag,eth	jfg	r02,qty=1	gpr,qty=1				usetype,crf		50	50	lifesteal			2	4	hp			10	20	regen			15	30	ethereal	100		1	1																																																																0
1 Magic Gloves + 1 Jewel Fragment + 1 Nef Rune + Perfect Ruby -> Blood Gloves	1			100					4	glov,mag,noe	jfg	r09,qty=1	gpr,qty=1				usetype,crf		50	50	lifesteal			2	4	hp			10	20	swing1			5	10																																																																					0
1 Magic Gloves + 1 Jewel Fragment + 1 Nef Rune + Perfect Ruby -> Blood Gloves	1			100					4	glov,mag,eth	jfg	r09,qty=1	gpr,qty=1				usetype,crf		50	50	lifesteal			2	4	hp			10	20	swing1			5	10	ethereal	100		1	1																																																																0
1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Ruby -> Blood Belt	1			100					4	belt,mag,noe	jfg	r02,qty=1	gpr,qty=1				usetype,crf		50	50	heal-kill			2	4	hp			10	20	openwounds			10	20																																																																					0
1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Ruby -> Blood Belt	1			100					4	belt,mag,eth	jfg	r02,qty=1	gpr,qty=1				usetype,crf		50	50	heal-kill			2	4	hp			10	20	openwounds			10	20	ethereal	100		1	1																																																																0
1 Magic Shield + 1 Jewel Fragment + 1 Ith Rune + Perfect Ruby -> Blood Shield	1			100					4	shld,mag,noe	jfg	r03,qty=1	gpr,qty=1				usetype,crf		50	50	balance1			10	20	hp			10	20	block			10	20																																																																					0
1 Magic Shield + 1 Jewel Fragment + 1 Ith Rune + Perfect Ruby -> Blood Shield	1			100					4	shld,mag,eth	jfg	r03,qty=1	gpr,qty=1				usetype,crf		50	50	balance1			10	20	hp			10	20	block			10	20	ethereal	100		1	1																																																																0
1 Magic Torso + 1 Jewel Fragment + 1 Thul Rune + Perfect Ruby -> Blood Torso	1			100					4	tors,mag,noe	jfg	r04,qty=1	gpr,qty=1				usetype,crf		50	50	lifesteal			3	6	hp			20	40	heal-kill			3	6																																																																					0
1 Magic Torso + 1 Jewel Fragment + 1 Thul Rune + Perfect Ruby -> Blood Torso	1			100					4	tors,mag,eth	jfg	r04,qty=1	gpr,qty=1				usetype,crf		50	50	lifesteal			3	6	hp			20	40	heal-kill			3	6	ethereal	100		1	1																																																																0
1 Magic Amulet + 1 Jewel Fragment + 1 Amn Rune + Perfect Ruby -> Blood Amulet	1			100					4	amul,mag	jfg	r07,qty=1	gpr,qty=1				usetype,crf		50	50	heal-kill			3	6	hp			10	20	move2			15	20																																																																					0
1 Magic Ring + 1 Jewel Fragment + 1 Sol Rune + Perfect Ruby -> Blood Ring	1			100					4	ring,mag	jfg	r08,qty=1	gpr,qty=1				usetype,crf		50	50	lifesteal			1	3	hp			10	20	str			5	10																																																																					0
1 Magic Weapon + 1 Jewel Fragment + 1 Ort Rune + Perfect Ruby -> Blood Weapon	1			100					4	weap,mag,noe	jfg	r09,qty=1	gpr,qty=1				usetype,crf		50	50	lifesteal			3	6	hp			10	20	dmg%			55	80																																																																					0
1 Magic Weapon + 1 Jewel Fragment + 1 Ort Rune + Perfect Ruby -> Blood Weapon	1			100					4	weap,mag,eth	jfg	r09,qty=1	gpr,qty=1				usetype,crf		50	50	lifesteal			3	6	hp			10	20	dmg%			55	80	ethereal	100		1	1																																																																0
CASTER	0																																																																																																							0
1 Magic Helm + 1 Jewel Fragment + 1 Nef Rune + Perfect Amethyst -> Caster Helm	0			100					4	helm,mag,noe	jfg	r03,qty=1	gpb,qty=1				usetype,crf		50	50	cast2			5	10	mana			5	10	regen-mana			2	6																																																																					0
1 Magic Helm + 1 Jewel Fragment + 1 Nef Rune + Perfect Amethyst -> Caster Helm	1			100					4	helm,mag,eth	jfg	r03,qty=1	gpb,qty=1				usetype,crf		50	50	cast2			5	10	mana			5	10	regen-mana			2	6	ethereal	50		1	1																																																																0
1 Magic Circlet + 1 Jewel Fragment + 1 Nef Rune + Perfect Amethyst -> Caster Helm	0			100					4	circ,mag,noe	jfg	r03,qty=1	gpb,qty=1				usetype,crf		50	50	cast2			5	10	mana			5	10	regen-mana			2	6																																																																					0
1 Magic Circlet + 1 Jewel Fragment + 1 Nef Rune + Perfect Amethyst -> Caster Helm	1			100					4	circ,mag,eth	jfg	r03,qty=1	gpb,qty=1				usetype,crf		50	50	cast2			5	10	mana			5	10	regen-mana			2	6	ethereal	50		1	1																																																																0
1 Magic Boots + 1 Jewel Fragment + 1 Thul Rune + Perfect Amethyst -> Caster Boots	1			100					4	boot,mag,noe	jfg	r10,qty=1	gpb,qty=1				usetype,crf		50	50	mana-kill			1	3	mana			10	20	mana%			5	10																																																																					0
1 Magic Boots + 1 Jewel Fragment + 1 Thul Rune + Perfect Amethyst -> Caster Boots	1			100					4	boot,mag,eth	jfg	r10,qty=1	gpb,qty=1				usetype,crf		50	50	mana-kill			1	3	mana			10	20	mana%			5	10	ethereal	100		1	1																																																																0
1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Amethyst -> Caster Gloves	1			100					4	glov,mag,noe	jfg	r05,qty=1	gpb,qty=1				usetype,crf		50	50	cast2			5	10	mana			10	20	mana-kill			1	3																																																																					0
1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Amethyst -> Caster Gloves	1			100					4	glov,mag,eth	jfg	r05,qty=1	gpb,qty=1				usetype,crf		50	50	cast2			5	10	mana			10	20	mana-kill			1	3	ethereal	100		1	1																																																																0
1 Magic Belt + 1 Jewel Fragment + 1 Ith Rune + Perfect Amethyst -> Caster Belt	1			100					4	belt,mag,noe	jfg	r06,qty=1	gpb,qty=1				usetype,crf		50	50	regen-mana			4	10	mana			10	15	cast1			10	10																																																																					0
1 Magic Belt + 1 Jewel Fragment + 1 Ith Rune + Perfect Amethyst -> Caster Belt	1			100					4	belt,mag,eth	jfg	r06,qty=1	gpb,qty=1				usetype,crf		50	50	regen-mana			4	10	mana			10	15	cast1			10	10	ethereal	100		1	1																																																																0
1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Amethyst -> Caster Shield	1			100					4	shld,mag,noe	jfg	r07,qty=1	gpb,qty=1				usetype,crf		50	50	cast1			5	10	mana			10	20	block			10	20						mana%			10	10																																																											0
1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Amethyst -> Caster Shield	1			100					4	shld,mag,eth	jfg	r07,qty=1	gpb,qty=1				usetype,crf		50	50	cast1			5	10	mana			10	20	block			10	20	ethereal	100		1	1	mana%			10	10																																																											0
1 Magic Torso + 1 Jewel Fragment + 1 Tal Rune + Perfect Amethyst -> Caster Torso	1			100					4	tors,mag,eth	jfg	r09,qty=1	gpb,qty=1				usetype,crf		50	50	cast1			5	10	mana			10	20	allskills			1	1																																																																					0
1 Magic Torso + 1 Jewel Fragment + 1 Tal Rune + Perfect Amethyst -> Caster Torso	1			100					4	tors,mag,eth	jfg	r09,qty=1	gpb,qty=1				usetype,crf		50	50	cast1			5	10	mana			10	20	allskills			0	1	ethereal	50		1	1																																																																0
1 Magic Amulet + 1 Jewel Fragment + 1 Ral Rune + Perfect Amethyst -> Caster Amulet	1			100					4	amul,mag	jfg	r03,qty=1	gpb,qty=1				usetype,crf		50	50	regen-mana			4	10	mana			10	25	cast1			5	10																																																																					0
1 Magic Ring + 1 Jewel Fragment + 1 Amn Rune + Perfect Amethyst -> Caster Ring	1			100					4	ring,mag	jfg	r02,qty=1	gpb,qty=1				usetype,crf		50	50	mana-kill			2	4	mana			20	40	str			5	10																																																																					0
1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Amethyst -> Caster Weapon	1			100					4	weap,mag,noe	jfg	r08,qty=1	gpb,qty=1				usetype,crf		50	50	allskills			1	1	mana			10	20	cast1			10	20																																																																					0
1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Amethyst -> Caster Weapon	1			100					4	weap,mag,eth	jfg	r08,qty=1	gpb,qty=1				usetype,crf		50	50	allskills			1	1	mana			10	20	cast1			10	20	ethereal	100		1	1																																																																0
SAFETY	0																																																																																																							0
1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Emerald -> Safety Helm	1			100					4	helm,mag,noe	jfg	r01,qty=1	gpg,qty=1				usetype,crf		50	50	red-dmg%			5	10	res-ltng			10	20	ac%			20	60	res-ltng			5	10																																																																0
1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Emerald -> Safety Helm	1			100					4	helm,mag,eth	jfg	r01,qty=1	gpg,qty=1				usetype,crf		50	50	red-dmg%			5	10	res-ltng			10	20	ac%			20	60	ethereal	100		1	1	res-fire			5	10																																																											0
1 Magic Circlet + 1 Jewel Fragment + 1 Ith Rune + Perfect Emerald -> Safety Helm	1			100					4	circ,mag,noe	jfg	r01,qty=1	gpg,qty=1				usetype,crf		50	50	red-dmg%			5	10	res-ltng			10	20	ac%			20	60	res-ltng			5	10																																																																0
1 Magic Circlet + 1 Jewel Fragment + 1 Ith Rune + Perfect Emerald -> Safety Helm	1			100					4	circ,mag,eth	jfg	r01,qty=1	gpg,qty=1				usetype,crf		50	50	red-dmg%			5	10	res-ltng			10	20	ac%			20	60	ethereal	100		1	1	res-fire			5	10																																																											0
1 Magic Boots + 1 Jewel Fragment + 1 Ort Rune + Perfect Emerald -> Safety Boots	1			100					4	boot,mag,noe	jfg	r03,qty=1	gpg,qty=1				usetype,crf		50	50	red-dmg			4	8	red-mag			4	8	res-fire			10	20						res-cold			5	10																																																											0
1 Magic Boots + 1 Jewel Fragment + 1 Ort Rune + Perfect Emerald -> Safety Boots	1			100					4	boot,mag,eth	jfg	r03,qty=1	gpg,qty=1				usetype,crf		50	50	red-dmg			4	8	red-mag			4	8	res-fire			10	20	ethereal	100		1	1	res-pois			5	10																																																											0
1 Magic Gloves + 1 Jewel Fragment + 1 Ral Rune + Perfect Emerald -> Safety Gloves	1			100					4	glov,mag,noe	jfg	r02,qty=1	gpg,qty=1				usetype,crf		50	50	red-dmg			4	8	red-mag			4	8	res-cold			10	20						res-mag			5	10																																																											0
1 Magic Gloves + 1 Jewel Fragment + 1 Ral Rune + Perfect Emerald -> Safety Gloves	1			100					4	glov,mag,eth	jfg	r02,qty=1	gpg,qty=1				usetype,crf		50	50	red-dmg			4	8	red-mag			4	8	res-cold			10	20	ethereal	100		1	1	half-freeze			1	1																																																											0
1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Emerald -> Safety Belt	1			100					4	belt,mag,noe	jfg	r04,qty=1	gpg,qty=1				usetype,crf		50	50	red-dmg			4	8	red-mag			4	8	res-pois			10	20						block			1	10																																																											0
1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Emerald -> Safety Belt	1			100					4	belt,mag,eth	jfg	r04,qty=1	gpg,qty=1				usetype,crf		50	50	red-dmg			4	8	red-mag			4	8	res-pois			10	20	ethereal	100		1	1	vit			1	5																																																											0
1 Magic Shield + 1 Jewel Fragment + 1 Nef Rune + Perfect Emerald -> Safety Shield	1			100					4	shld,mag,noe	jfg	r06,qty=1	gpg,qty=1				usetype,crf		50	50	red-dmg%			5	10	ac%			20	60	red-mag			5	10	ac%			5	10																																																																0
1 Magic Shield + 1 Jewel Fragment + 1 Nef Rune + Perfect Emerald -> Safety Shield	1			100					4	shld,mag,eth	jfg	r06,qty=1	gpg,qty=1				usetype,crf		50	50	red-dmg%			5	10	ac%			20	60	red-mag			5	10	ethereal	100		1	1																																																																0
1 Magic Torso + 1 Jewel Fragment + 1 Eth Rune + Perfect Emerald -> Safety Torso	1			100					4	tors,mag,noe	jfg	r05,qty=1	gpg,qty=1				usetype,crf		50	50	red-dmg%			5	15	half-freeze			1	1	ac%			20	60																																																																					0
1 Magic Torso + 1 Jewel Fragment + 1 Eth Rune + Perfect Emerald -> Safety Torso	1			100					4	tors,mag,eth	jfg	r05,qty=1	gpg,qty=1				usetype,crf		50	50	red-dmg%			5	15	half-freeze			1	1	ac%			20	60	ethereal	100		1	1																																																																0
1 Magic Amulet + 1 Jewel Fragment + 1 Thul Rune + Perfect Emerald -> Safety Amulet	1			100					4	amul,mag	jfg	r10,qty=1	gpg,qty=1				usetype,crf		50	50	res-all			1	5	red-mag			5	10	block			10	10																																																																					0
